V1,V2,V3,V4,V5,V6
7254.3955078125,7263.318,7293.816,7327.4204,7338.268,7331.304
1632.12841796875,1587.5593,1616.008,1496.8088,1584.1604,1757.146
8598.28515625,8856.86,9089.302,9322.183,9610.987,9827.438
9927.8759765625,10214.61,10471.434,10745.084,11070.414,11265.658
7131.57568359375,7479.352,7810.113,8111.579,8443.084,8691.016
4194.88037109375,4346.3643,4463.4985,4622.333,4647.8193,4664.2695
3739.0166015625,3830.1846,3852.7432,3930.3494,3969.4634,4042.484
2400.498291015625,2404.072,2400.6724,2398.079,2402.5,2410.4465
2328.877685546875,2353.3875,2376.5618,2401.8936,2409.7795,2411.71
2316.505615234375,2327.9075,2309.2744,2312.7761,2326.8643,2363.948
1499.21728515625,1511.4573,1521.8523,1534.035,1536.3845,1539.6777
2028.220947265625,2086.2703,2138.9023,2193.8877,2228.2144,2236.6812
4731.0859375,4841.873,4942.2344,5022.282,5102.143,5103.7124
5140.86083984375,5241.4854,5341.8604,5418.35,5489.4204,5551.6377
5461.3759765625,5625.283,5785.3755,5929.8296,6094.919,6272.3135
2579.937744140625,2598.9653,2625.0918,2634.7246,2650.5168,2635.9436
3886.316650390625,3957.194,4033.268,4096.997,4146.1924,4185.6836
3204.40234375,3228.1843,3261.6633,3281.85,3292.704,3278.4224
3234.813232421875,3457.1697,3646.2725,3881.6572,3868.4468,3917.1797
6596.47216796875,6742.6353,6898.5757,7059.5757,7094.6396,7099.408
9740.4580078125,10149.19,10551.9795,10978.156,11059.293,11075.436
4483.3681640625,4603.8867,4604.804,4654.6826,4719.4575,4897.0464
9900.4990234375,9897.28,9752.447,9599.578,9730.344,10435.817
8929.9716796875,9053.264,8764.638,8782.367,8959.715,9385.529
2451.170654296875,2524.7231,2581.4277,2644.8918,2650.7551,2689.2256
7526.3271484375,7698.007,7713.8887,7707.8594,7872.159,8200.23
1801.9603271484375,1843.6655,1840.6995,1860.7703,1887.5167,1950.4124
1750.3740234375,1781.9633,1773.7606,1776.2028,1808.0945,1877.804
4201.76953125,4235.787,4223.028,4236.959,4267.0864,4324.2676
4565.08935546875,4688.6445,4809.3564,4924.6475,5017.901,5046.617
3739.10302734375,3756.518,3712.6548,3742.211,3765.6035,3834.158
5480.65478515625,5543.3755,5587.4956,5655.141,5667.2603,5688.636
1285.751220703125,1306.8702,1331.2134,1348.9453,1369.7151,1372.889
1717.4453125,1735.0696,1761.4983,1779.8463,1797.0454,1795.831
3453.731689453125,3516.7844,3570.4614,3637.0986,3652.3066,3657.8103
1171.23876953125,1180.1836,1184.5115,1193.4095,1197.7513,1203.8136
4044.327880859375,4109.4834,4153.026,4217.844,4232.418,4254.219
2800.20703125,3073.0083,3172.0962,3590.7534,4608.023,3762.3096
3803.9716796875,3893.6829,3977.0303,3992.3787,4011.667,4077.9949
4805.1826171875,4927.3306,5050.272,5160.014,5234.946,5320.286
14810.4287109375,15055.507,15276.134,15467.871,15547.936,15675.161
5895.9140625,6263.969,6615.0186,6977.8804,7314.5605,7486.178
2954.519287109375,3108.1187,3259.6042,3416.599,3592.2417,3723.5413
10309.7041015625,10661.84,11026.241,11359.881,11725.955,12126.377
